blind_id,run_id,case_id
ADJ001,O1_ERBB-P03_C1_R01,ERBB-P03
ADJ002,O3_ERBB-P02_C3_R01,ERBB-P02
ADJ003,O3_ERBB-P01_C3_R01,ERBB-P01
ADJ004,A3_ERBB-P03_C2_R01,ERBB-P03
ADJ005,G1_ERBB-P03_C2_R01,ERBB-P03
ADJ006,M3_ERBB-P02_C3_R01,ERBB-P02
ADJ007,G3_ERBB-P01_C1_R01,ERBB-P01
ADJ008,G2_ERBB-P01_C2_R01,ERBB-P01
ADJ009,M2_ERBB-P02_C2_R01,ERBB-P02
ADJ010,G3_ERBB-P03_C1_R01,ERBB-P03
ADJ011,O3_ERBB-P01_C1_R01,ERBB-P01
ADJ012,M3_ERBB-P04_C3_R01,ERBB-P04
ADJ013,O2_ERBB-P02_C2_R01,ERBB-P02
ADJ014,O2_ERBB-P01_C2_R01,ERBB-P01
ADJ015,M1_ERBB-P02_C1_R01,ERBB-P02
ADJ016,O3_ERBB-P02_C2_R01,ERBB-P02
ADJ017,M3_ERBB-P04_C1_R01,ERBB-P04
ADJ018,G1_ERBB-P02_C1_R01,ERBB-P02
ADJ019,O2_ERBB-P02_C1_R01,ERBB-P02
ADJ020,O1_ERBB-P02_C2_R01,ERBB-P02
ADJ021,A1_ERBB-P02_C3_R01,ERBB-P02
ADJ022,M3_ERBB-P02_C2_R01,ERBB-P02
ADJ023,M2_ERBB-P01_C1_R01,ERBB-P01
ADJ024,M2_ERBB-P02_C3_R01,ERBB-P02
ADJ025,G2_ERBB-P02_C3_R01,ERBB-P02
ADJ026,A3_ERBB-P03_C3_R01,ERBB-P03
ADJ027,M2_ERBB-P03_C1_R01,ERBB-P03
ADJ028,A1_ERBB-P02_C2_R01,ERBB-P02
ADJ029,M2_ERBB-P03_C3_R01,ERBB-P03
ADJ030,A3_ERBB-P02_C3_R01,ERBB-P02
ADJ031,G2_ERBB-P01_C3_R01,ERBB-P01
ADJ032,M3_ERBB-P02_C1_R01,ERBB-P02
ADJ033,G3_ERBB-P01_C3_R01,ERBB-P01
ADJ034,O1_ERBB-P03_C3_R01,ERBB-P03
ADJ035,G3_ERBB-P02_C2_R01,ERBB-P02
ADJ036,A3_ERBB-P01_C3_R01,ERBB-P01
ADJ037,G2_ERBB-P01_C1_R01,ERBB-P01
ADJ038,M2_ERBB-P04_C2_R01,ERBB-P04
ADJ039,M2_ERBB-P03_C2_R01,ERBB-P03
ADJ040,G3_ERBB-P04_C2_R01,ERBB-P04
ADJ041,G3_ERBB-P02_C1_R01,ERBB-P02
ADJ042,G1_ERBB-P01_C1_R01,ERBB-P01
ADJ043,O1_ERBB-P02_C1_R01,ERBB-P02
ADJ044,M1_ERBB-P03_C1_R01,ERBB-P03
ADJ045,O1_ERBB-P02_C3_R01,ERBB-P02
ADJ046,G3_ERBB-P04_C3_R01,ERBB-P04
ADJ047,M2_ERBB-P01_C3_R01,ERBB-P01
ADJ048,G3_ERBB-P01_C2_R01,ERBB-P01
ADJ049,G2_ERBB-P03_C2_R01,ERBB-P03
ADJ050,M3_ERBB-P03_C2_R01,ERBB-P03
ADJ051,M1_ERBB-P01_C3_R01,ERBB-P01
ADJ052,O2_ERBB-P03_C3_R01,ERBB-P03
ADJ053,M2_ERBB-P04_C3_R01,ERBB-P04
ADJ054,A3_ERBB-P02_C1_R01,ERBB-P02
ADJ055,O3_ERBB-P02_C1_R01,ERBB-P02
ADJ056,G2_ERBB-P02_C1_R01,ERBB-P02
ADJ057,G1_ERBB-P03_C1_R01,ERBB-P03
ADJ058,O1_ERBB-P01_C3_R01,ERBB-P01
ADJ059,M3_ERBB-P01_C1_R01,ERBB-P01
ADJ060,G3_ERBB-P04_C1_R01,ERBB-P04
ADJ061,M1_ERBB-P03_C3_R01,ERBB-P03
ADJ062,G1_ERBB-P01_C3_R01,ERBB-P01
ADJ063,M3_ERBB-P04_C2_R01,ERBB-P04
ADJ064,M2_ERBB-P04_C1_R01,ERBB-P04
ADJ065,M2_ERBB-P01_C2_R01,ERBB-P01
ADJ066,M2_ERBB-P02_C1_R01,ERBB-P02
ADJ067,G2_ERBB-P03_C1_R01,ERBB-P03
ADJ068,O1_ERBB-P03_C2_R01,ERBB-P03
ADJ069,G1_ERBB-P01_C2_R01,ERBB-P01
ADJ070,O1_ERBB-P01_C1_R01,ERBB-P01
ADJ071,M3_ERBB-P01_C2_R01,ERBB-P01
ADJ072,O3_ERBB-P03_C2_R01,ERBB-P03
ADJ073,G3_ERBB-P03_C2_R01,ERBB-P03
ADJ074,O3_ERBB-P01_C2_R01,ERBB-P01
ADJ075,G2_ERBB-P02_C2_R01,ERBB-P02
ADJ076,M1_ERBB-P01_C1_R01,ERBB-P01
ADJ077,G1_ERBB-P02_C3_R01,ERBB-P02
ADJ078,M3_ERBB-P03_C1_R01,ERBB-P03
ADJ079,O2_ERBB-P03_C2_R01,ERBB-P03
ADJ080,O2_ERBB-P01_C1_R01,ERBB-P01
ADJ081,G3_ERBB-P02_C3_R01,ERBB-P02
ADJ082,G1_ERBB-P02_C2_R01,ERBB-P02
ADJ083,O1_ERBB-P01_C2_R01,ERBB-P01
ADJ084,A3_ERBB-P01_C2_R01,ERBB-P01
ADJ085,M3_ERBB-P01_C3_R01,ERBB-P01
ADJ086,M1_ERBB-P02_C2_R01,ERBB-P02
ADJ087,O3_ERBB-P03_C3_R01,ERBB-P03
ADJ088,A3_ERBB-P03_C1_R01,ERBB-P03
ADJ089,M1_ERBB-P01_C2_R01,ERBB-P01
ADJ090,O2_ERBB-P01_C3_R01,ERBB-P01
ADJ091,M1_ERBB-P02_C3_R01,ERBB-P02
ADJ092,O2_ERBB-P02_C3_R01,ERBB-P02
ADJ093,M1_ERBB-P03_C2_R01,ERBB-P03
ADJ094,G3_ERBB-P03_C3_R01,ERBB-P03
ADJ095,A3_ERBB-P01_C1_R01,ERBB-P01
ADJ096,O3_ERBB-P03_C1_R01,ERBB-P03
ADJ097,O2_ERBB-P03_C1_R01,ERBB-P03
ADJ098,M3_ERBB-P03_C3_R01,ERBB-P03
ADJ099,A3_ERBB-P02_C2_R01,ERBB-P02
