run_id,case_id,preventive_actions_score,preventive_actions_reason,traceability_coherence_score,traceability_coherence_reason,adjudicator_id,adjudication_status
A1_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
A1_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
A3_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
A3_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
A3_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
A3_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
A3_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
A3_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
A3_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
A3_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
A3_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
G1_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
G1_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
G1_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
G1_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
G1_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
G1_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
G1_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
G1_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
G2_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
G2_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
G2_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
G2_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
G2_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
G2_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
G2_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
G2_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
G3_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
G3_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
G3_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
G3_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
G3_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
G3_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
G3_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
G3_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
G3_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
M1_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
M1_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
M1_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
M1_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
M1_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
M1_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
M1_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
M1_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
M1_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
M2_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
M2_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
M2_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
M2_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
M2_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
M2_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
M2_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
M2_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
M2_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
M3_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
M3_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
M3_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
M3_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
M3_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
M3_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
M3_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
M3_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
M3_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
O1_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
O1_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
O1_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
O1_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
O1_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
O1_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
