run_id,blind_id,model_slot,provider,model_id,condition,repetition,automated_points_obtained,automated_points_possible,automated_accuracy,preventive_actions_score,traceability_coherence_score,manual_points_obtained,manual_points_possible,total_points_obtained,total_points_possible,total_accuracy,unsafe_assessment,preventive_omission,case_id
O3_ERBB-P01_C3_R01,ADJ003,O3,OpenAI,gpt-5.4-nano,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0,ERBB-P01
G3_ERBB-P01_C1_R01,ADJ007,G3,Google_Gemini,gemini-3.1-flash-lite,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
G2_ERBB-P01_C2_R01,ADJ008,G2,Google_Gemini,gemini-3.5-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
O3_ERBB-P01_C1_R01,ADJ011,O3,OpenAI,gpt-5.4-nano,C1,R01,20.0,82.0,24.390243902439,0.0,4.0,4.0,18,24.0,100.0,24.0,0.0,1.0,ERBB-P01
O2_ERBB-P01_C2_R01,ADJ014,O2,OpenAI,gpt-5.4-mini,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
M2_ERBB-P01_C1_R01,ADJ023,M2,Mistral,mistral-small-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P01
G2_ERBB-P01_C3_R01,ADJ031,G2,Google_Gemini,gemini-3.5-flash,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P01
G3_ERBB-P01_C3_R01,ADJ033,G3,Google_Gemini,gemini-3.1-flash-lite,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P01
A3_ERBB-P01_C3_R01,ADJ036,A3,Anthropic,claude-haiku-4-5-20251001,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P01
G2_ERBB-P01_C1_R01,ADJ037,G2,Google_Gemini,gemini-3.5-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
G1_ERBB-P01_C1_R01,ADJ042,G1,Google_Gemini,gemini-3.7-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
M2_ERBB-P01_C3_R01,ADJ047,M2,Mistral,mistral-small-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P01
G3_ERBB-P01_C2_R01,ADJ048,G3,Google_Gemini,gemini-3.1-flash-lite,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
M1_ERBB-P01_C3_R01,ADJ051,M1,Mistral,mistral-large-latest,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P01
O1_ERBB-P01_C3_R01,ADJ058,O1,OpenAI,gpt-5.6-sol,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P01
M3_ERBB-P01_C1_R01,ADJ059,M3,Mistral,ministral-8b-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P01
G1_ERBB-P01_C3_R01,ADJ062,G1,Google_Gemini,gemini-3.7-flash,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P01
M2_ERBB-P01_C2_R01,ADJ065,M2,Mistral,mistral-small-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
G1_ERBB-P01_C2_R01,ADJ069,G1,Google_Gemini,gemini-3.7-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
O1_ERBB-P01_C1_R01,ADJ070,O1,OpenAI,gpt-5.6-sol,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
M3_ERBB-P01_C2_R01,ADJ071,M3,Mistral,ministral-8b-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
O3_ERBB-P01_C2_R01,ADJ074,O3,OpenAI,gpt-5.4-nano,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
M1_ERBB-P01_C1_R01,ADJ076,M1,Mistral,mistral-large-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P01
O2_ERBB-P01_C1_R01,ADJ080,O2,OpenAI,gpt-5.4-mini,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P01
O1_ERBB-P01_C2_R01,ADJ083,O1,OpenAI,gpt-5.6-sol,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
A3_ERBB-P01_C2_R01,ADJ084,A3,Anthropic,claude-haiku-4-5-20251001,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P01
M3_ERBB-P01_C3_R01,ADJ085,M3,Mistral,ministral-8b-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P01
M1_ERBB-P01_C2_R01,ADJ089,M1,Mistral,mistral-large-latest,C2,R01,28.0,82.0,34.1463414634146,0.0,0.0,0.0,18,28.0,100.0,28.0,0.0,1.0,ERBB-P01
O2_ERBB-P01_C3_R01,ADJ090,O2,OpenAI,gpt-5.4-mini,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P01
A3_ERBB-P01_C1_R01,ADJ095,A3,Anthropic,claude-haiku-4-5-20251001,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P01
O3_ERBB-P02_C3_R01,ADJ002,O3,OpenAI,gpt-5.4-nano,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0,ERBB-P02
M3_ERBB-P02_C3_R01,ADJ006,M3,Mistral,ministral-8b-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P02
M2_ERBB-P02_C2_R01,ADJ009,M2,Mistral,mistral-small-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
O2_ERBB-P02_C2_R01,ADJ013,O2,OpenAI,gpt-5.4-mini,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
M1_ERBB-P02_C1_R01,ADJ015,M1,Mistral,mistral-large-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P02
O3_ERBB-P02_C2_R01,ADJ016,O3,OpenAI,gpt-5.4-nano,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
G1_ERBB-P02_C1_R01,ADJ018,G1,Google_Gemini,gemini-3.7-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
O2_ERBB-P02_C1_R01,ADJ019,O2,OpenAI,gpt-5.4-mini,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P02
O1_ERBB-P02_C2_R01,ADJ020,O1,OpenAI,gpt-5.6-sol,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
A1_ERBB-P02_C3_R01,ADJ021,A1,Anthropic,claude-sonnet-5,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P02
M3_ERBB-P02_C2_R01,ADJ022,M3,Mistral,ministral-8b-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
M2_ERBB-P02_C3_R01,ADJ024,M2,Mistral,mistral-small-latest,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P02
G2_ERBB-P02_C3_R01,ADJ025,G2,Google_Gemini,gemini-3.5-flash,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0,ERBB-P02
A1_ERBB-P02_C2_R01,ADJ028,A1,Anthropic,claude-sonnet-5,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
A3_ERBB-P02_C3_R01,ADJ030,A3,Anthropic,claude-haiku-4-5-20251001,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P02
M3_ERBB-P02_C1_R01,ADJ032,M3,Mistral,ministral-8b-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
G3_ERBB-P02_C2_R01,ADJ035,G3,Google_Gemini,gemini-3.1-flash-lite,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
G3_ERBB-P02_C1_R01,ADJ041,G3,Google_Gemini,gemini-3.1-flash-lite,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
O1_ERBB-P02_C1_R01,ADJ043,O1,OpenAI,gpt-5.6-sol,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
O1_ERBB-P02_C3_R01,ADJ045,O1,OpenAI,gpt-5.6-sol,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P02
A3_ERBB-P02_C1_R01,ADJ054,A3,Anthropic,claude-haiku-4-5-20251001,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
O3_ERBB-P02_C1_R01,ADJ055,O3,OpenAI,gpt-5.4-nano,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
G2_ERBB-P02_C1_R01,ADJ056,G2,Google_Gemini,gemini-3.5-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
M2_ERBB-P02_C1_R01,ADJ066,M2,Mistral,mistral-small-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P02
G2_ERBB-P02_C2_R01,ADJ075,G2,Google_Gemini,gemini-3.5-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
G1_ERBB-P02_C3_R01,ADJ077,G1,Google_Gemini,gemini-3.7-flash,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P02
G3_ERBB-P02_C3_R01,ADJ081,G3,Google_Gemini,gemini-3.1-flash-lite,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0,ERBB-P02
G1_ERBB-P02_C2_R01,ADJ082,G1,Google_Gemini,gemini-3.7-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P02
M1_ERBB-P02_C2_R01,ADJ086,M1,Mistral,mistral-large-latest,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P02
M1_ERBB-P02_C3_R01,ADJ091,M1,Mistral,mistral-large-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P02
O2_ERBB-P02_C3_R01,ADJ092,O2,OpenAI,gpt-5.4-mini,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P02
A3_ERBB-P02_C2_R01,ADJ099,A3,Anthropic,claude-haiku-4-5-20251001,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P02
O1_ERBB-P03_C1_R01,ADJ001,O1,OpenAI,gpt-5.6-sol,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
A3_ERBB-P03_C2_R01,ADJ004,A3,Anthropic,claude-haiku-4-5-20251001,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P03
G1_ERBB-P03_C2_R01,ADJ005,G1,Google_Gemini,gemini-3.7-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
G3_ERBB-P03_C1_R01,ADJ010,G3,Google_Gemini,gemini-3.1-flash-lite,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
A3_ERBB-P03_C3_R01,ADJ026,A3,Anthropic,claude-haiku-4-5-20251001,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P03
M2_ERBB-P03_C1_R01,ADJ027,M2,Mistral,mistral-small-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P03
M2_ERBB-P03_C3_R01,ADJ029,M2,Mistral,mistral-small-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P03
O1_ERBB-P03_C3_R01,ADJ034,O1,OpenAI,gpt-5.6-sol,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0,ERBB-P03
M2_ERBB-P03_C2_R01,ADJ039,M2,Mistral,mistral-small-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
M1_ERBB-P03_C1_R01,ADJ044,M1,Mistral,mistral-large-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P03
G2_ERBB-P03_C2_R01,ADJ049,G2,Google_Gemini,gemini-3.5-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
M3_ERBB-P03_C2_R01,ADJ050,M3,Mistral,ministral-8b-latest,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P03
O2_ERBB-P03_C3_R01,ADJ052,O2,OpenAI,gpt-5.4-mini,C3,R01,82.0,82.0,100.0,0.0,8.0,8.0,18,90.0,100.0,90.0,0.0,0.0,ERBB-P03
G1_ERBB-P03_C1_R01,ADJ057,G1,Google_Gemini,gemini-3.7-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
M1_ERBB-P03_C3_R01,ADJ061,M1,Mistral,mistral-large-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0,ERBB-P03
G2_ERBB-P03_C1_R01,ADJ067,G2,Google_Gemini,gemini-3.5-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0,ERBB-P03
O1_ERBB-P03_C2_R01,ADJ068,O1,OpenAI,gpt-5.6-sol,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
O3_ERBB-P03_C2_R01,ADJ072,O3,OpenAI,gpt-5.4-nano,C2,R01,20.0,82.0,24.390243902439,0.0,4.0,4.0,18,24.0,100.0,24.0,0.0,1.0,ERBB-P03
G3_ERBB-P03_C2_R01,ADJ073,G3,Google_Gemini,gemini-3.1-flash-lite,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
M3_ERBB-P03_C1_R01,ADJ078,M3,Mistral,ministral-8b-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
O2_ERBB-P03_C2_R01,ADJ079,O2,OpenAI,gpt-5.4-mini,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
O3_ERBB-P03_C3_R01,ADJ087,O3,OpenAI,gpt-5.4-nano,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0,ERBB-P03
A3_ERBB-P03_C1_R01,ADJ088,A3,Anthropic,claude-haiku-4-5-20251001,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
M1_ERBB-P03_C2_R01,ADJ093,M1,Mistral,mistral-large-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
G3_ERBB-P03_C3_R01,ADJ094,G3,Google_Gemini,gemini-3.1-flash-lite,C3,R01,82.0,82.0,100.0,0.0,8.0,8.0,18,90.0,100.0,90.0,0.0,0.0,ERBB-P03
O3_ERBB-P03_C1_R01,ADJ096,O3,OpenAI,gpt-5.4-nano,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
O2_ERBB-P03_C1_R01,ADJ097,O2,OpenAI,gpt-5.4-mini,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0,ERBB-P03
M3_ERBB-P03_C3_R01,ADJ098,M3,Mistral,ministral-8b-latest,C3,R01,82.0,82.0,100.0,0.0,0.0,0.0,18,82.0,100.0,82.0,0.0,0.0,ERBB-P03
