"omission_code","severity","description","run_id","case_id","model_slot","condition"
"U08",2,"Evaluation unit with failed controls is missing.","A1_ERBB-P02_C2_R01","ERBB-P02","A1","C2"
"U08",2,"Evaluation unit with failed controls is missing.","A3_ERBB-P01_C1_R01","ERBB-P01","A3","C1"
"U08",2,"Evaluation unit with failed controls is missing.","A3_ERBB-P01_C2_R01","ERBB-P01","A3","C2"
"U08",2,"Evaluation unit with failed controls is missing.","A3_ERBB-P02_C1_R01","ERBB-P02","A3","C1"
"U08",2,"Evaluation unit with failed controls is missing.","A3_ERBB-P02_C2_R01","ERBB-P02","A3","C2"
"U08",2,"Evaluation unit with failed controls is missing.","A3_ERBB-P03_C1_R01","ERBB-P03","A3","C1"
"U08",2,"Evaluation unit with failed controls is missing.","A3_ERBB-P03_C2_R01","ERBB-P03","A3","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G1_ERBB-P01_C1_R01","ERBB-P01","G1","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G1_ERBB-P01_C2_R01","ERBB-P01","G1","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G1_ERBB-P02_C1_R01","ERBB-P02","G1","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G1_ERBB-P02_C2_R01","ERBB-P02","G1","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G1_ERBB-P03_C1_R01","ERBB-P03","G1","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G1_ERBB-P03_C2_R01","ERBB-P03","G1","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G2_ERBB-P01_C1_R01","ERBB-P01","G2","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G2_ERBB-P01_C2_R01","ERBB-P01","G2","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G2_ERBB-P02_C1_R01","ERBB-P02","G2","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G2_ERBB-P02_C2_R01","ERBB-P02","G2","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G2_ERBB-P03_C1_R01","ERBB-P03","G2","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G2_ERBB-P03_C2_R01","ERBB-P03","G2","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G3_ERBB-P01_C1_R01","ERBB-P01","G3","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G3_ERBB-P01_C2_R01","ERBB-P01","G3","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G3_ERBB-P02_C1_R01","ERBB-P02","G3","C1"
"U08",2,"Evaluation unit with failed controls is missing.","G3_ERBB-P02_C2_R01","ERBB-P02","G3","C2"
"U08",2,"Evaluation unit with failed controls is missing.","G3_ERBB-P03_C1_R01","ERBB-P03","G3","C1"
