model_slot,condition,count,mean,std,min,max
A1,C2,1,20.0,,20.0,20.0
A1,C3,1,91.0,,91.0,91.0
A3,C1,3,20.0,0.0,20.0,20.0
A3,C2,3,16.0,0.0,16.0,16.0
A3,C3,3,92.0,5.2,86.0,95.0
G1,C1,3,20.0,0.0,20.0,20.0
G1,C2,3,20.0,0.0,20.0,20.0
G1,C3,2,95.0,0.0,95.0,95.0
G2,C1,3,18.67,2.31,16.0,20.0
G2,C2,3,20.0,0.0,20.0,20.0
G2,C3,2,89.0,8.49,83.0,95.0
G3,C1,3,20.0,0.0,20.0,20.0
G3,C2,3,20.0,0.0,20.0,20.0
G3,C3,3,92.0,2.65,90.0,95.0
M1,C1,3,16.0,0.0,16.0,16.0
M1,C2,3,21.33,6.11,16.0,28.0
M1,C3,3,87.67,2.89,86.0,91.0
M2,C1,3,16.0,0.0,16.0,16.0
M2,C2,3,20.0,0.0,20.0,20.0
M2,C3,3,89.0,5.2,86.0,95.0
M3,C1,3,18.67,2.31,16.0,20.0
M3,C2,3,18.67,2.31,16.0,20.0
M3,C3,3,84.67,2.31,82.0,86.0
O1,C1,3,20.0,0.0,20.0,20.0
O1,C2,3,20.0,0.0,20.0,20.0
O1,C3,3,91.0,0.0,91.0,91.0
O2,C1,3,17.33,2.31,16.0,20.0
O2,C2,3,20.0,0.0,20.0,20.0
O2,C3,3,90.67,0.58,90.0,91.0
O3,C1,3,21.33,2.31,20.0,24.0
O3,C2,3,21.33,2.31,20.0,24.0
O3,C3,3,83.0,0.0,83.0,83.0
