run_id,blind_id,case_id,model_slot,provider,model_id,condition,repetition,automated_points_obtained,automated_points_possible,automated_accuracy,preventive_actions_score,traceability_coherence_score,manual_points_obtained,manual_points_possible,total_points_obtained,total_points_possible,total_accuracy,unsafe_assessment,preventive_omission
O1_ERBB-P03_C1_R01,ADJ001,ERBB-P03,O1,OpenAI,gpt-5.6-sol,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
A3_ERBB-P03_C2_R01,ADJ004,ERBB-P03,A3,Anthropic,claude-haiku-4-5-20251001,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
G1_ERBB-P03_C2_R01,ADJ005,ERBB-P03,G1,Google_Gemini,gemini-3.7-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
G3_ERBB-P03_C1_R01,ADJ010,ERBB-P03,G3,Google_Gemini,gemini-3.1-flash-lite,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
A3_ERBB-P03_C3_R01,ADJ026,ERBB-P03,A3,Anthropic,claude-haiku-4-5-20251001,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0
M2_ERBB-P03_C1_R01,ADJ027,ERBB-P03,M2,Mistral,mistral-small-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
M2_ERBB-P03_C3_R01,ADJ029,ERBB-P03,M2,Mistral,mistral-small-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0
O1_ERBB-P03_C3_R01,ADJ034,ERBB-P03,O1,OpenAI,gpt-5.6-sol,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0
M2_ERBB-P03_C2_R01,ADJ039,ERBB-P03,M2,Mistral,mistral-small-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0
M1_ERBB-P03_C1_R01,ADJ044,ERBB-P03,M1,Mistral,mistral-large-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
G2_ERBB-P03_C2_R01,ADJ049,ERBB-P03,G2,Google_Gemini,gemini-3.5-flash,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
M3_ERBB-P03_C2_R01,ADJ050,ERBB-P03,M3,Mistral,ministral-8b-latest,C2,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
O2_ERBB-P03_C3_R01,ADJ052,ERBB-P03,O2,OpenAI,gpt-5.4-mini,C3,R01,82.0,82.0,100.0,0.0,8.0,8.0,18,90.0,100.0,90.0,0.0,0.0
G1_ERBB-P03_C1_R01,ADJ057,ERBB-P03,G1,Google_Gemini,gemini-3.7-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
M1_ERBB-P03_C3_R01,ADJ061,ERBB-P03,M1,Mistral,mistral-large-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0
G2_ERBB-P03_C1_R01,ADJ067,ERBB-P03,G2,Google_Gemini,gemini-3.5-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
O1_ERBB-P03_C2_R01,ADJ068,ERBB-P03,O1,OpenAI,gpt-5.6-sol,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O3_ERBB-P03_C2_R01,ADJ072,ERBB-P03,O3,OpenAI,gpt-5.4-nano,C2,R01,20.0,82.0,24.390243902439,0.0,4.0,4.0,18,24.0,100.0,24.0,0.0,1.0
G3_ERBB-P03_C2_R01,ADJ073,ERBB-P03,G3,Google_Gemini,gemini-3.1-flash-lite,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
M3_ERBB-P03_C1_R01,ADJ078,ERBB-P03,M3,Mistral,ministral-8b-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O2_ERBB-P03_C2_R01,ADJ079,ERBB-P03,O2,OpenAI,gpt-5.4-mini,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O3_ERBB-P03_C3_R01,ADJ087,ERBB-P03,O3,OpenAI,gpt-5.4-nano,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0
A3_ERBB-P03_C1_R01,ADJ088,ERBB-P03,A3,Anthropic,claude-haiku-4-5-20251001,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
M1_ERBB-P03_C2_R01,ADJ093,ERBB-P03,M1,Mistral,mistral-large-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0
G3_ERBB-P03_C3_R01,ADJ094,ERBB-P03,G3,Google_Gemini,gemini-3.1-flash-lite,C3,R01,82.0,82.0,100.0,0.0,8.0,8.0,18,90.0,100.0,90.0,0.0,0.0
O3_ERBB-P03_C1_R01,ADJ096,ERBB-P03,O3,OpenAI,gpt-5.4-nano,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O2_ERBB-P03_C1_R01,ADJ097,ERBB-P03,O2,OpenAI,gpt-5.4-mini,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
M3_ERBB-P03_C3_R01,ADJ098,ERBB-P03,M3,Mistral,ministral-8b-latest,C3,R01,82.0,82.0,100.0,0.0,0.0,0.0,18,82.0,100.0,82.0,0.0,0.0
