boe_line,agent_id,agent_type,legal_name_es_raw,agent_name,classification_raw,risk_group,group3_limited_airborne,notes_raw,flag_A,flag_D,flag_T,flag_V,regulatory_status,basebio_available,basebio_name,basebio_match_status,basebio_match_confidence,source_boe_id,source_annex,source_text_status,source_last_update,source_checked,source_url,eu_basis,eu_source_url,eu_rowwise_verified,basebio_source_url,consolidated_rendering_previous_name,legal_name_correction_status,consolidated_source_boe_id,consolidated_source_url,consolidated_source_status,legal_primary_source_id,legal_primary_source_title,legal_primary_source_annex,legal_primary_source_url,legal_primary_source_status,spanish_row_audit_status,spanish_row_audit_date,classification_text_status,eu_rowwise_audit_status,basebio_review_status,basebio_review_date,basebio_review_note,basebio_link_scope,basebio_rejected_candidate_name,audit_group_consistency,audit_double_asterisk_consistency,audit_flag_A_consistency,audit_flag_D_consistency,audit_flag_T_consistency,audit_flag_V_consistency,eu_update_2019_url,eu_sars2_2020_url,eu_primary_source_id,eu_primary_source_title,eu_primary_source_url,eu_primary_source_eli,eu_primary_source_annex,eu_rowwise_audit_date,eu_rowwise_audit_method,eu_name_concordance,eu_name_concordance_status,eu_group_concordance,eu_double_asterisk_concordance,eu_flag_A_concordance,eu_flag_D_concordance,eu_flag_T_concordance,eu_flag_V_concordance,eu_exact_raw_text_claimed,eu_discrepancy_type,eu_discrepancy_note,eu_current_intended_name_concordance,eu_spanish_original_text_name_concordance,eu_source_text_history_status,eu_corrigendum_relevant,eu_corrigendum_id,eu_corrigendum_url,eu_corrigendum_note
460,BIO-BACT-0001,bacteria,Actinomadura madurae.,Actinomadura madurae,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
461,BIO-BACT-0002,bacteria,Actinomadura pelletieri.,Actinomadura pelletieri,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
462,BIO-BACT-0003,bacteria,Actinomyces gerencseriae.,Actinomyces gerencseriae,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
463,BIO-BACT-0004,bacteria,Actinomyces israelii.,Actinomyces israelii,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
464,BIO-BACT-0005,bacteria,Actinomyces spp.,Actinomyces spp,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
465,BIO-BACT-0006,bacteria,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans).,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans),2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
466,BIO-BACT-0007,bacteria,Anaplasma spp.,Anaplasma spp,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
467,BIO-BACT-0008,bacteria,Arcanobacterium haemolyticum (Corynebacterium haemolyticum).,Arcanobacterium haemolyticum (Corynebacterium haemolyticum),2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
468,BIO-BACT-0009,bacteria,Arcobacter butzleri.,Arcobacter butzleri,2,2,False,,False,False,False,False,classified_annex_ii,False,,not_linked,,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,not_linked,2026-08-25,,,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
469,BIO-BACT-0010,bacteria,Bacillus anthracis.,Bacillus anthracis,3,3,False,T,False,False,True,False,classified_annex_ii,True,Bacillus anthracis,exact_normalized,high,BOE-A-2021-19371,II,official_amending_act_annex_II,2021-11-25,2026-08-25,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,Directive 2000/54/EC Annex III as replaced by Directive (EU) 2019/1833 and amended by Directive (EU) 2020/739 for SARS-CoV-2,https://eur-lex.europa.eu/eli/dir/2000/54/2020-06-24/eng,True,https://www.insst.es/agentes-biologicos-basebio,,none,BOE-A-1997-11144,https://www.boe.es/eli/es/rd/1997/05/12/664/con,informative_consolidation_secondary_reference,BOE-A-2021-19371,"Orden TES/1287/2021, de 22 de noviembre",II,https://www.boe.es/boe/dias/2021/11/25/pdfs/BOE-A-2021-19371.pdf,official_amending_act_replacing_annex_II,verified_semantic_against_official_order_2021,2026-08-25,normalized_semantic_representation_of_official_classification,verified_semantic_against_official_eu_annex_iii,automated_exact_or_normalized_link_retained,2026-08-25,,same_or_normalized_legal_entity,,True,True,True,True,True,True,https://eur-lex.europa.eu/eli/dir/2019/1833/oj,https://eur-lex.europa.eu/eli/dir/2020/739/oj,DOUE-L-2019-81658,Commission Directive (EU) 2019/1833 of 24 October 2019 - Annex III replacement,https://www.boe.es/buscar/doc.php?id=DOUE-L-2019-81658,https://data.europa.eu/eli/dir/2019/1833/spa,Annex III,2026-08-25,manual_rowwise_semantic_comparison_official_DOUE_text_with_punctuation_and_rendering_normalization,True,verified_semantic_name_concordance,True,True,True,True,True,True,False,,,True,True,no_material_source_text_anomaly_identified,False,,,
