agent_id,agent_type,legal_name_es_raw,agent_name,risk_group,classification_raw,group3_limited_airborne,notes_raw,flag_A,flag_D,flag_T,flag_V,legal_primary_source_id,spanish_row_audit_status,spanish_row_audit_date,eu_primary_source_id,eu_rowwise_verified,eu_name_concordance,eu_current_intended_name_concordance,eu_spanish_original_text_name_concordance,eu_name_concordance_status,eu_group_concordance,eu_double_asterisk_concordance,eu_flag_A_concordance,eu_flag_D_concordance,eu_flag_T_concordance,eu_flag_V_concordance,eu_rowwise_audit_status,eu_source_text_history_status,eu_corrigendum_relevant,eu_corrigendum_id,eu_discrepancy_type,eu_discrepancy_note,basebio_available,basebio_name,basebio_match_status,basebio_review_status,basebio_link_scope,basebio_review_note
BIO-BACT-0001,bacteria,Actinomadura madurae.,Actinomadura madurae,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0002,bacteria,Actinomadura pelletieri.,Actinomadura pelletieri,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0003,bacteria,Actinomyces gerencseriae.,Actinomyces gerencseriae,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0004,bacteria,Actinomyces israelii.,Actinomyces israelii,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0005,bacteria,Actinomyces spp.,Actinomyces spp,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0006,bacteria,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans).,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans),2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0007,bacteria,Anaplasma spp.,Anaplasma spp,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0008,bacteria,Arcanobacterium haemolyticum (Corynebacterium haemolyticum).,Arcanobacterium haemolyticum (Corynebacterium haemolyticum),2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0009,bacteria,Arcobacter butzleri.,Arcobacter butzleri,2,2,False,,False,False,False,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,False,,not_linked,not_linked,,
BIO-BACT-0010,bacteria,Bacillus anthracis.,Bacillus anthracis,3,3,False,T,False,False,True,False,BOE-A-2021-19371,verified_semantic_against_official_order_2021,2026-08-25,DOUE-L-2019-81658,True,True,True,True,verified_semantic_name_concordance,True,True,True,True,True,True,verified_semantic_against_official_eu_annex_iii,no_material_source_text_anomaly_identified,False,,,,True,Bacillus anthracis,exact_normalized,automated_exact_or_normalized_link_retained,same_or_normalized_legal_entity,
