basebio_index,basebio_page,page_position,basebio_name,source_url,source_checked,legal_agent_ids,legal_link_count,technical_layer_status
1,1,1,Acanthamoeba castellani,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-PAR-0001,1,public_BASEBiO_index_entry
2,1,2,Acanthamoeba spp.,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,,0,public_BASEBiO_index_entry
3,1,3,Adenovirus (excepto serotipos 40 y 41),https://www.insst.es/agentes-biologicos-basebio,2026-08-25,,0,public_BASEBiO_index_entry
4,1,4,Adenovirus entéricos (serotipos 40 y 41),https://www.insst.es/agentes-biologicos-basebio,2026-08-25,,0,public_BASEBiO_index_entry
5,1,5,Alternaria spp.,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,,0,public_BASEBiO_index_entry
6,1,6,Ancylostoma duodenale,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-PAR-0002,1,public_BASEBiO_index_entry
7,1,7,Ancylostoma spp.,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,,0,public_BASEBiO_index_entry
8,1,8,Anisakis simplex,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-PAR-0005,1,public_BASEBiO_index_entry
9,1,9,Ascaris lumbricoides,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-PAR-0006,1,public_BASEBiO_index_entry
10,1,10,Aspergillus flavus,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-FUNG-0001,1,public_BASEBiO_index_entry
11,1,11,Aspergillus fumigatus,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-FUNG-0002,1,public_BASEBiO_index_entry
12,1,12,Aspergillus spp.,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-FUNG-0003,1,public_BASEBiO_index_entry
13,1,13,Bacillus anthracis,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0010,1,public_BASEBiO_index_entry
14,1,14,Blastomyces dermatitidis (Ajellomyces dermatitidis),https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-FUNG-0004,1,public_BASEBiO_index_entry
15,1,15,Bordetella bronchiseptica,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0016,1,public_BASEBiO_index_entry
16,1,16,Bordetella parapertussis,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0017,1,public_BASEBiO_index_entry
17,1,17,Bordetella pertussis,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0018,1,public_BASEBiO_index_entry
18,1,18,Bordetella spp.,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0019,1,public_BASEBiO_index_entry
19,1,19,Borrelia burgdorferi,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0020,1,public_BASEBiO_index_entry
20,1,20,Borrelia duttonii,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0021,1,public_BASEBiO_index_entry
21,2,1,Borrelia recurrentis,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0022,1,public_BASEBiO_index_entry
22,2,2,Borrelia spp.,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0023,1,public_BASEBiO_index_entry
23,2,3,Brucella abortus,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0025,1,public_BASEBiO_index_entry
24,2,4,Brucella canis,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0026,1,public_BASEBiO_index_entry
25,2,5,Brucella melitensis,https://www.insst.es/agentes-biologicos-basebio,2026-08-25,BIO-BACT-0028,1,public_BASEBiO_index_entry
