questionnaire_id,stage,n_items,validation_status,cronbach_alpha,deleted_original_items,final_n_items,notes
audit,pre_elimination_validation,38,content_and_internal_consistency_evaluated,0.759,4;9;10;11;12;14,32,"Methods/results narrative elsewhere says 37 variables, while Table 59 and item-level validation tables use n=38. Source inconsistency retained."
audit,final_2015_annex1,32,validated_final_in_thesis,0.814,,32,Final Annex 1 instrument after six deletions. Annex 1 presents Si/No/N/A; Chapter 4 also describes an optional 0–4 audit scoring semantics.
general,pre_elimination_validation,55,content_and_internal_consistency_evaluated,0.740,23;26;28;31;32;35;41,48,Seven items removed after corrected item-total correlation analysis.
general,final_2015_annex1,48,validated_final_in_thesis,0.779,,48,Final Annex 1 instrument.
workers,pre_elimination_validation,34,content_and_internal_consistency_evaluated,0.759,,34,No item removed after corrected item-total correlation analysis.
workers,final_2015_annex1,34,validated_final_in_thesis,0.759,,34,Final Annex 1 instrument.
sec_health_services_general,final_2015_annex1,73,not_validated_insufficient_sector_sample,,,73,Sector-specific questionnaire: Centros sanitarios — Servicios generales. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_health_maintenance,final_2015_annex1,19,not_validated_insufficient_sector_sample,,,19,Sector-specific questionnaire: Centros sanitarios — Mantenimiento. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_health_hygiene,final_2015_annex1,20,not_validated_insufficient_sector_sample,,,20,Sector-specific questionnaire: Centros sanitarios — Realización de higienes. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_health_clinical,final_2015_annex1,98,not_validated_insufficient_sector_sample,,,98,Sector-specific questionnaire: Centros sanitarios — Personal sanitario. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_wastewater,final_2015_annex1,12,not_validated_insufficient_sector_sample,,,12,Sector-specific questionnaire: Depuradoras de aguas residuales — Depuradoras. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_poultry,final_2015_annex1,41,not_validated_insufficient_sector_sample,,,41,Sector-specific questionnaire: Granjas — Granjas avícolas. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
