questionnaire_id,expected_items,extracted_items,status
audit,32,32,OK
general,48,48,OK
workers,34,34,OK
sec_health_services_general,73,73,OK
sec_health_maintenance,19,19,OK
sec_health_hygiene,20,20,OK
sec_health_clinical,98,98,OK
sec_wastewater,12,12,OK
sec_poultry,41,41,OK
sec_other_farms,38,38,OK
sec_slaughterhouse,52,52,OK
sec_bovine_slaughterhouse,49,49,OK
sec_animal_fats,19,19,OK
sec_animal_meal,26,26,OK
sec_cured_meats,21,21,OK
sec_ham_warehouse,13,13,OK
sec_slaughter_wastewater,6,6,OK
sec_cutting_butcher,10,10,OK
sec_clinical_labs,62,62,OK
sec_research_labs,73,73,OK
sec_biotech_labs,59,59,OK
sec_waste_maintenance,19,19,OK
sec_waste_treatment,9,9,OK
sec_compost,11,11,OK
sec_food,33,33,OK
sec_vet_general,51,51,OK
sec_vet_personnel,80,80,OK
